"ID","Name","mm_yr","lat","long"
1612340,"Honolulu, HI",1.41,21.3067,-157.867
1617760,"Hilo, HI",2.95,19.7303,-155.0558
1619000,"Johnston Atoll",0.75,16.7383,-169.53
1619910,"Midway Atoll",1.25,28.2117,-177.36
1770000,"Pago Pago, American Samoa",2.21,-14.28,-170.69
1820000,"Kwajalein",2.32,8.7316,167.7362
8418150,"Portland, ME",1.9,43.6567,-70.2467
8419870,"Seavey Island, ME",1.76,43.08,-70.7417
8443970,"Boston, MA",2.81,42.3548,-71.0534
8449130,"Nantucket Island, MA",3.58,41.285,-70.0967
8518750,"The Battery, NY",2.84,40.7006,-74.0142
8534720,"Atlantic City, NJ",4.08,39.355,-74.4183
8545240,"Philadelphia, PA",2.94,39.9333,-75.1417
8557380,"Lewes, DE",3.41,38.7817,-75.12
8573927,"Chesapeake City, MD",3.92,39.5267,-75.81
8574680,"Baltimore, MD",3.14,39.2667,-76.5783
8575512,"Annapolis, MD",3.53,38.9833,-76.4816
8594900,"Washington, DC",3.24,38.8733,-77.0217
8651370,"Duck, NC",4.62,36.1833,-75.7467
8656483,"Beaufort, NC",2.83,34.72,-76.67
8658120,"Wilmington, NC",2.1,34.2267,-77.9533
8665530,"Charleston, SC",3.16,32.7817,-79.925
8720030,"Fernandina Beach, FL",2.05,30.6717,-81.465
8724580,"Key West, FL",2.33,24.5557,-81.8079
8727520,"Cedar Key, FL",1.93,29.135,-83.0317
8729108,"Panama City, FL",1.73,30.1523,-85.6669
8761724,"Grand Isle, LA",9.03,29.2633,-89.9567
8764311,"Eugene Island, LA",9.65,29.3717,-91.385
8771450,"Galveston Pier 21, TX",6.34,29.31,-94.7933
8771510,"Galveston Pleasure Pier, TX",6.62,29.2853,-94.7894
8772440,"Freeport, TX",4.43,28.9483,-95.3083
9410170,"San Diego, CA",2.08,32.7142,-117.1736
9410660,"Los Angeles, CA",0.88,33.72,-118.272
9414290,"San Francisco, CA",1.92,37.8067,-122.465
9415020,"Point Reyes, CA",1.75,37.9961,-122.9767
9418767,"North Spit, CA",4.32,40.7667,-124.217
9431647,"Port Orford, OR",-0.36,42.739,-124.4983
9435380,"South Beach, OR",2.04,44.625,-124.043
9439040,"Astoria, OR",-0.27,46.2073,-123.7683
9440910,"Toke Point, WA",0.35,46.7075,-123.9669
9443090,"Neah Bay, WA",-1.76,48.3667,-124.6117
9444900,"Port Townsend, WA",1.69,48.1117,-122.758
9447130,"Seattle, WA",1.99,47.6026,-122.3393
9450460,"Ketchikan, AK",-0.3,55.3318,-131.6262
9452210,"Juneau, AK",-13.16,58.2983,-134.412
9452400,"Skagway, AK",-17.59,59.45,-135.327
9453220,"Yakutat, AK",-14.35,59.5485,-139.7334
9455920,"Anchorage, AK",-0.61,61.2383,-149.89
9462620,"Unalaska, AK",-5.26,53.88,-166.537
9731158,"Guantanamo Bay, Cuba",1.64,19.9067,-75.1467
9751401,"Lime Tree Bay, VI",2.29,17.6947,-64.7538
